id,order_id,dish_id,quantity,unit_price
83,41,11,2,20.75
84,41,14,2,33.96
85,42,21,3,18.77
86,42,25,2,23.68
87,43,11,3,20.75
88,43,13,3,4.29
89,44,18,2,8.64
90,44,20,2,7.9
91,45,18,2,8.64
92,45,20,3,7.9
93,46,16,2,12.37
94,46,18,2,8.64
95,47,1,3,21.08
96,47,5,2,18.94
97,48,4,3,9.18
98,48,5,2,18.94
99,49,22,2,6.87
100,49,23,2,29.59
101,50,12,3,6.26
102,50,14,3,33.96
103,51,26,1,12.05
104,51,30,2,33.81
105,52,7,1,13.96
106,52,8,3,24.56
107,53,21,3,18.77
108,53,22,3,6.87
109,54,28,3,11.69
110,54,30,2,33.81
111,55,1,3,21.08
112,55,5,1,18.94
113,56,19,1,11.38
114,56,20,2,7.9
115,57,28,2,11.69
116,57,30,2,33.81
117,58,23,1,29.59
118,58,24,1,13.71
119,59,16,1,12.37
120,59,20,1,7.9
121,60,11,1,20.75
122,60,12,1,6.26
123,61,9,3,22.09
124,61,10,2,17.62
125,62,16,3,12.37
126,62,19,1,11.38
127,62,20,3,7.9
128,63,24,1,13.71
129,63,25,1,23.68
130,64,22,3,6.87
131,64,23,1,29.59
132,65,13,2,4.29
133,65,15,1,23.3
134,66,7,2,13.96
135,66,8,2,24.56
136,67,17,1,29.43
137,67,20,2,7.9
138,68,1,2,21.08
139,68,5,2,18.94
140,69,27,3,15.52
141,69,28,2,11.69
142,70,6,2,3.14
143,70,10,1,17.62
144,71,12,3,6.26
145,71,15,2,23.3
146,72,8,1,24.56
147,72,10,3,17.62
148,73,17,2,29.43
149,73,20,1,7.9
150,74,11,2,20.75
151,74,13,3,4.29
152,75,12,1,6.26
153,75,13,2,4.29
154,76,21,3,18.77
155,76,22,2,6.87
156,77,1,2,21.08
157,77,4,2,9.18
158,78,26,3,12.05
159,78,27,2,15.52
160,79,21,2,18.77
161,79,23,3,29.59
162,80,22,2,6.87
163,80,24,1,13.71
164,81,19,3,11.38
165,81,20,2,7.9
166,82,14,1,33.96
167,82,15,2,23.3
168,83,23,2,29.59
169,83,24,3,13.71
170,84,2,1,21.29
171,84,5,2,18.94
172,85,18,1,8.64
173,85,20,1,7.9
174,86,16,2,12.37
175,86,17,3,29.43
176,86,18,2,8.64
177,87,7,2,13.96
178,87,8,3,24.56
179,88,2,1,21.29
180,88,3,3,35.44
181,89,2,3,21.29
182,89,3,1,35.44
183,90,8,1,24.56
184,90,9,2,22.09
185,91,6,2,3.14
186,91,9,2,22.09
187,92,7,3,13.96
188,92,8,2,24.56
189,93,13,3,4.29
190,93,15,3,23.3
191,94,23,2,29.59
192,94,24,3,13.71
193,94,25,2,23.68
194,95,28,2,11.69
195,95,29,2,7.44
196,96,11,1,20.75
197,96,13,2,4.29
198,97,13,1,4.29
199,97,14,2,33.96
200,98,1,1,21.08
201,98,4,3,9.18
202,99,12,1,6.26
203,99,13,2,4.29
204,100,22,1,6.87
205,100,24,3,13.71
206,101,27,3,15.52
207,101,30,3,33.81
208,102,13,1,4.29
209,102,15,3,23.3
210,103,13,2,4.29
211,103,14,1,33.96
212,104,11,3,20.75
213,104,13,1,4.29
214,105,1,2,21.08
215,105,4,3,9.18
216,106,11,3,20.75
217,106,12,2,6.26
218,106,14,3,33.96
219,107,11,1,20.75
220,107,13,2,4.29
221,107,14,2,33.96
222,108,17,1,29.43
223,108,20,1,7.9
224,109,17,1,29.43
225,109,18,2,8.64
226,110,26,3,12.05
227,110,29,3,7.44
228,111,26,2,12.05
229,111,28,2,11.69
230,112,27,3,15.52
231,112,29,1,7.44
232,113,6,3,3.14
233,113,8,2,24.56
234,113,9,1,22.09
235,114,17,3,29.43
236,114,20,2,7.9
237,115,17,1,29.43
238,115,20,2,7.9
239,116,7,2,13.96
240,116,10,2,17.62
241,117,24,2,13.71
242,117,25,1,23.68
243,118,17,1,29.43
244,118,18,3,8.64
245,119,17,3,29.43
246,119,20,1,7.9
247,120,26,2,12.05
248,120,29,2,7.44
249,121,1,1,21.08
250,121,4,3,9.18
251,122,19,1,11.38
252,122,20,1,7.9
253,123,4,3,9.18
254,123,5,1,18.94
255,124,22,1,6.87
256,124,24,3,13.71
257,125,13,1,4.29
258,125,14,3,33.96
259,126,17,3,29.43
260,126,19,2,11.38
261,127,6,1,3.14
262,127,7,2,13.96
263,128,26,2,12.05
264,128,27,2,15.52
265,129,27,3,15.52
266,129,28,2,11.69
267,130,7,2,13.96
268,130,9,2,22.09
269,130,10,2,17.62
270,131,21,1,18.77
271,131,22,3,6.87
272,131,24,2,13.71
273,132,21,2,18.77
274,132,22,3,6.87
275,132,25,3,23.68
276,133,2,3,21.29
277,133,5,1,18.94
278,134,11,1,20.75
279,134,14,3,33.96
280,135,11,1,20.75
281,135,15,3,23.3
282,136,22,2,6.87
283,136,24,3,13.71
284,137,19,2,11.38
285,137,20,3,7.9
286,138,22,3,6.87
287,138,24,1,13.71
288,139,12,3,6.26
289,139,14,1,33.96
290,140,3,1,35.44
291,140,5,1,18.94
292,141,23,3,29.59
293,141,24,2,13.71
294,142,22,3,6.87
295,142,25,2,23.68
296,143,24,2,13.71
297,143,25,2,23.68
298,144,26,3,12.05
299,144,30,1,33.81
300,145,2,2,21.29
301,145,3,2,35.44
302,146,21,2,18.77
303,146,23,3,29.59
304,146,25,2,23.68
305,147,21,3,18.77
306,147,22,1,6.87
307,148,27,3,15.52
308,148,30,1,33.81
309,149,11,1,20.75
310,149,15,1,23.3
311,150,8,1,24.56
312,150,9,2,22.09
313,151,26,3,12.05
314,151,28,1,11.69
315,152,6,1,3.14
316,152,10,2,17.62
317,153,18,2,8.64
318,153,19,1,11.38
319,154,17,1,29.43
320,154,19,3,11.38
321,155,2,3,21.29
322,155,5,3,18.94
323,156,21,2,18.77
324,156,25,2,23.68
325,157,18,2,8.64
326,157,19,1,11.38
327,158,14,2,33.96
328,158,15,3,23.3
329,159,17,3,29.43
330,159,20,3,7.9
331,160,7,2,13.96
332,160,8,3,24.56
333,161,27,1,15.52
334,161,29,3,7.44
335,162,26,1,12.05
336,162,27,3,15.52
337,163,11,3,20.75
338,163,14,2,33.96
339,164,22,1,6.87
340,164,25,2,23.68
341,165,21,1,18.77
342,165,23,3,29.59
343,166,2,2,21.29
344,166,4,3,9.18
345,167,16,3,12.37
346,167,19,2,11.38
347,168,16,1,12.37
348,168,19,2,11.38
349,169,23,1,29.59
350,169,24,2,13.71
351,170,16,3,12.37
352,170,18,2,8.64
353,170,19,3,11.38
354,171,26,2,12.05
355,171,27,3,15.52
356,172,17,2,29.43
357,172,19,3,11.38
358,173,27,1,15.52
359,173,28,3,11.69
360,174,27,2,15.52
361,174,28,2,11.69
362,174,30,3,33.81
363,175,1,1,21.08
364,175,5,2,18.94
365,176,24,3,13.71
366,176,25,2,23.68
367,177,1,2,21.08
368,177,4,1,9.18
369,178,7,3,13.96
370,178,10,3,17.62
371,179,6,1,3.14
372,179,10,2,17.62
373,180,19,2,11.38
374,180,20,2,7.9
375,181,26,3,12.05
376,181,28,1,11.69
377,182,27,2,15.52
378,182,30,3,33.81
379,183,3,2,35.44
380,183,5,3,18.94
381,184,7,2,13.96
382,184,8,3,24.56
383,185,8,2,24.56
384,185,10,1,17.62
385,186,18,2,8.64
386,186,20,3,7.9
387,187,17,3,29.43
388,187,18,1,8.64
389,188,7,2,13.96
390,188,9,1,22.09
391,189,29,2,7.44
392,189,30,3,33.81
393,190,28,2,11.69
394,190,29,3,7.44
395,191,17,3,29.43
396,191,18,3,8.64
397,191,20,3,7.9
398,192,13,3,4.29
399,192,14,3,33.96
400,193,27,3,15.52
401,193,28,3,11.69
402,194,22,2,6.87
403,194,23,1,29.59
404,194,24,2,13.71
405,195,6,3,3.14
406,195,8,1,24.56
407,196,1,3,21.08
408,196,2,2,21.29
409,197,27,2,15.52
410,197,29,3,7.44
411,198,8,1,24.56
412,198,9,3,22.09
413,199,18,2,8.64
414,199,20,2,7.9
415,200,22,3,6.87
416,200,24,1,13.71
417,201,11,3,20.75
418,201,13,3,4.29
419,202,18,2,8.64
420,202,19,3,11.38
421,203,21,3,18.77
422,203,24,3,13.71
423,204,11,3,20.75
424,204,14,2,33.96
425,205,16,2,12.37
426,205,18,3,8.64
427,206,17,3,29.43
428,206,20,2,7.9
429,207,14,1,33.96
430,207,15,1,23.3
431,208,7,3,13.96
432,208,8,1,24.56
433,209,17,2,29.43
434,209,20,1,7.9
435,210,7,1,13.96
436,210,10,2,17.62
437,211,27,1,15.52
438,211,30,2,33.81
439,212,23,1,29.59
440,212,25,2,23.68
441,213,19,2,11.38
442,213,20,3,7.9
443,214,6,3,3.14
444,214,8,3,24.56
445,215,7,2,13.96
446,215,8,3,24.56
447,216,29,1,7.44
448,216,30,1,33.81
449,217,7,3,13.96
450,217,9,2,22.09
451,218,27,2,15.52
452,218,29,2,7.44
453,219,16,1,12.37
454,219,19,1,11.38
455,220,22,2,6.87
456,220,25,1,23.68
457,221,18,2,8.64
458,221,20,2,7.9
459,222,16,3,12.37
460,222,17,3,29.43
461,223,13,3,4.29
462,223,15,2,23.3
463,224,18,1,8.64
464,224,20,1,7.9
465,225,21,1,18.77
466,225,25,2,23.68
467,226,2,1,21.29
468,226,4,1,9.18
469,227,11,1,20.75
470,227,12,1,6.26
471,228,22,1,6.87
472,228,25,3,23.68
473,229,27,2,15.52
474,229,29,2,7.44
475,230,28,2,11.69
476,230,30,1,33.81
477,231,26,2,12.05
478,231,30,2,33.81
479,232,11,2,20.75
480,232,15,3,23.3
481,233,26,2,12.05
482,233,27,3,15.52
483,234,7,3,13.96
484,234,10,1,17.62
485,235,7,3,13.96
486,235,10,1,17.62
487,236,19,1,11.38
488,236,20,1,7.9
489,237,27,2,15.52
490,237,29,3,7.44
491,238,18,1,8.64
492,238,20,2,7.9
493,239,23,3,29.59
494,239,24,1,13.71
495,239,25,2,23.68
496,240,21,1,18.77
497,240,24,2,13.71
498,241,17,2,29.43
499,241,18,1,8.64
500,242,27,3,15.52
501,242,28,1,11.69
502,243,4,3,9.18
503,243,5,3,18.94
504,244,7,1,13.96
505,244,9,1,22.09
506,245,11,2,20.75
507,245,13,2,4.29
508,245,14,2,33.96
509,246,26,2,12.05
510,246,29,1,7.44
511,247,8,3,24.56
512,247,10,1,17.62
513,248,28,2,11.69
514,248,29,3,7.44
515,249,19,3,11.38
516,249,20,3,7.9
517,250,28,1,11.69
518,250,30,3,33.81
519,251,7,3,13.96
520,251,10,1,17.62
521,252,16,2,12.37
522,252,17,3,29.43
523,252,19,1,11.38
524,253,6,1,3.14
525,253,7,3,13.96
526,253,8,1,24.56
527,254,21,3,18.77
528,254,23,3,29.59
529,255,6,1,3.14
530,255,7,3,13.96
531,256,26,2,12.05
532,256,29,2,7.44
533,257,22,2,6.87
534,257,24,2,13.71
535,258,22,1,6.87
536,258,25,3,23.68
537,259,1,1,21.08
538,259,3,1,35.44
539,260,27,2,15.52
540,260,28,2,11.69
541,261,7,1,13.96
542,261,9,3,22.09
543,262,11,2,20.75
544,262,14,2,33.96
545,263,11,3,20.75
546,263,12,2,6.26
547,263,13,3,4.29
548,264,19,3,11.38
549,264,20,1,7.9
550,265,16,3,12.37
551,265,17,2,29.43
552,266,11,2,20.75
553,266,14,2,33.96
554,267,11,1,20.75
555,267,12,2,6.26
556,267,15,2,23.3
557,268,27,2,15.52
558,268,29,3,7.44
559,269,22,1,6.87
560,269,23,2,29.59
561,269,24,1,13.71
562,270,28,2,11.69
563,270,30,2,33.81
564,271,17,3,29.43
565,271,20,2,7.9
566,272,21,2,18.77
567,272,24,3,13.71
568,273,1,1,21.08
569,273,2,3,21.29
570,274,6,3,3.14
571,274,7,2,13.96
572,275,13,3,4.29
573,275,15,3,23.3
574,276,22,2,6.87
575,276,24,2,13.71
576,277,3,1,35.44
577,277,4,1,9.18
578,278,2,3,21.29
579,278,3,3,35.44
580,279,17,3,29.43
581,279,19,3,11.38
582,280,24,2,13.71
583,280,25,3,23.68
584,281,13,3,4.29
585,281,14,1,33.96
586,282,22,3,6.87
587,282,24,1,13.71
588,283,7,1,13.96
589,283,9,3,22.09
590,284,26,3,12.05
591,284,29,1,7.44
592,285,4,2,9.18
593,285,5,3,18.94
594,286,1,1,21.08
595,286,5,3,18.94
596,287,27,2,15.52
597,287,28,1,11.69
598,287,29,1,7.44
599,288,12,3,6.26
600,288,15,2,23.3
601,289,21,2,18.77
602,289,22,3,6.87
603,289,24,2,13.71
604,290,6,3,3.14
605,290,10,2,17.62
606,291,23,2,29.59
607,291,24,1,13.71
608,292,24,2,13.71
609,292,25,2,23.68
610,293,11,3,20.75
611,293,12,2,6.26
612,294,16,1,12.37
613,294,20,3,7.9
614,295,12,3,6.26
615,295,15,2,23.3
616,296,16,2,12.37
617,296,19,3,11.38
618,297,16,1,12.37
619,297,17,1,29.43
620,297,20,2,7.9
621,298,2,1,21.29
622,298,5,1,18.94
623,299,12,1,6.26
624,299,15,1,23.3
625,300,11,2,20.75
626,300,13,2,4.29
627,301,1,3,21.08
628,301,5,3,18.94
629,302,28,2,11.69
630,302,30,2,33.81
631,303,23,3,29.59
632,303,24,2,13.71
633,304,18,1,8.64
634,304,20,1,7.9
635,305,23,3,29.59
636,305,24,2,13.71
637,306,27,2,15.52
638,306,29,3,7.44
639,307,13,2,4.29
640,307,15,3,23.3
641,308,29,1,7.44
642,308,30,3,33.81
643,309,7,2,13.96
644,309,10,3,17.62
645,310,12,1,6.26
646,310,15,1,23.3
647,311,1,1,21.08
648,311,3,1,35.44
649,311,5,1,18.94
650,312,11,3,20.75
651,312,14,2,33.96
652,313,8,1,24.56
653,313,10,2,17.62
654,314,1,2,21.08
655,314,3,2,35.44
656,315,8,1,24.56
657,315,9,1,22.09
658,316,16,2,12.37
659,316,18,2,8.64
660,317,21,1,18.77
661,317,22,2,6.87
662,318,18,3,8.64
663,318,19,3,11.38
664,319,18,3,8.64
665,319,19,3,11.38
666,320,17,2,29.43
667,320,18,1,8.64
668,320,19,2,11.38
669,321,1,3,21.08
670,321,4,1,9.18
671,322,2,3,21.29
672,322,3,2,35.44
673,323,28,2,11.69
674,323,30,2,33.81
675,324,8,3,24.56
676,324,10,3,17.62
677,325,26,2,12.05
678,325,29,3,7.44
679,326,11,1,20.75
680,326,14,2,33.96
681,327,28,1,11.69
682,327,29,1,7.44
683,328,16,3,12.37
684,328,18,2,8.64
685,329,6,3,3.14
686,329,8,3,24.56
687,330,11,3,20.75
688,330,15,1,23.3
689,331,17,3,29.43
690,331,19,2,11.38
691,332,23,1,29.59
692,332,24,1,13.71
693,333,1,3,21.08
694,333,2,2,21.29
695,334,1,1,21.08
696,334,2,1,21.29
697,335,13,3,4.29
698,335,14,2,33.96
699,335,15,3,23.3
700,336,21,3,18.77
701,336,24,3,13.71
702,337,17,1,29.43
703,337,18,3,8.64
704,338,11,1,20.75
705,338,13,1,4.29
706,338,15,1,23.3
707,339,1,2,21.08
708,339,2,2,21.29
709,340,1,1,21.08
710,340,2,3,21.29
711,341,18,1,8.64
712,341,19,1,11.38
713,342,22,2,6.87
714,342,23,1,29.59
715,343,2,1,21.29
716,343,5,3,18.94
717,344,2,2,21.29
718,344,5,3,18.94
719,345,6,3,3.14
720,345,7,2,13.96
721,345,9,3,22.09
722,346,28,1,11.69
723,346,30,2,33.81
724,347,9,3,22.09
725,347,10,2,17.62
726,348,1,3,21.08
727,348,2,2,21.29
728,349,26,2,12.05
729,349,27,1,15.52
730,349,30,3,33.81
731,350,6,2,3.14
732,350,9,2,22.09
733,351,21,1,18.77
734,351,24,1,13.71
735,352,23,3,29.59
736,352,24,1,13.71
737,353,22,2,6.87
738,353,24,2,13.71
739,354,23,2,29.59
740,354,25,1,23.68
741,355,29,2,7.44
742,355,30,3,33.81
743,356,8,2,24.56
744,356,9,3,22.09
745,356,10,2,17.62
746,357,26,2,12.05
747,357,28,1,11.69
748,358,4,2,9.18
749,358,5,2,18.94
750,359,12,1,6.26
751,359,15,2,23.3
752,360,21,3,18.77
753,360,22,1,6.87
754,361,21,2,18.77
755,361,24,1,13.71
756,362,21,1,18.77
757,362,25,2,23.68
758,363,16,3,12.37
759,363,19,2,11.38
760,364,23,3,29.59
761,364,24,1,13.71
762,365,4,2,9.18
763,365,5,3,18.94
764,366,8,2,24.56
765,366,9,1,22.09
766,367,9,2,22.09
767,367,10,2,17.62
768,368,24,2,13.71
769,368,25,3,23.68
770,369,11,3,20.75
771,369,13,2,4.29
772,370,21,2,18.77
773,370,25,3,23.68
774,371,16,2,12.37
775,371,17,3,29.43
776,372,8,3,24.56
777,372,10,3,17.62
778,373,2,1,21.29
779,373,4,3,9.18
780,374,7,2,13.96
781,374,9,3,22.09
782,374,10,2,17.62
783,375,26,3,12.05
784,375,29,2,7.44
785,376,17,1,29.43
786,376,20,2,7.9
787,377,6,2,3.14
788,377,8,3,24.56
789,377,10,1,17.62
790,378,9,2,22.09
791,378,10,2,17.62
792,379,16,2,12.37
793,379,18,3,8.64
794,379,20,1,7.9
795,380,11,2,20.75
796,380,12,1,6.26
797,380,13,3,4.29
798,381,16,1,12.37
799,381,17,1,29.43
800,381,18,1,8.64
801,382,21,1,18.77
802,382,24,3,13.71
803,383,21,1,18.77
804,383,25,2,23.68
805,384,17,2,29.43
806,384,18,2,8.64
807,385,27,2,15.52
808,385,28,3,11.69
809,386,8,1,24.56
810,386,10,1,17.62
811,387,6,3,3.14
812,387,10,3,17.62
813,388,13,2,4.29
814,388,14,2,33.96
815,389,2,2,21.29
816,389,4,2,9.18
817,390,3,2,35.44
818,390,5,1,18.94
819,391,26,2,12.05
820,391,27,2,15.52
821,392,26,3,12.05
822,392,29,2,7.44
823,393,6,3,3.14
824,393,7,3,13.96
825,394,17,3,29.43
826,394,18,1,8.64
827,395,17,3,29.43
828,395,19,1,11.38
829,396,22,3,6.87
830,396,23,2,29.59
831,397,21,3,18.77
832,397,24,3,13.71
833,398,1,2,21.08
834,398,5,2,18.94
835,399,23,1,29.59
836,399,25,1,23.68
837,400,6,2,3.14
838,400,9,3,22.09
839,401,23,3,29.59
840,401,24,3,13.71
841,402,22,1,6.87
842,402,23,2,29.59
843,403,22,3,6.87
844,403,23,2,29.59
845,404,27,1,15.52
846,404,29,1,7.44
847,405,16,2,12.37
848,405,19,1,11.38
849,405,20,1,7.9
850,406,1,3,21.08
851,406,2,2,21.29
852,407,7,2,13.96
853,407,10,2,17.62
854,408,9,2,22.09
855,408,10,1,17.62
856,409,13,1,4.29
857,409,15,2,23.3
858,410,6,3,3.14
859,410,7,3,13.96
860,411,1,3,21.08
861,411,5,1,18.94
862,412,1,2,21.08
863,412,4,3,9.18
864,413,8,1,24.56
865,413,9,2,22.09
866,414,19,2,11.38
867,414,20,3,7.9
868,415,18,1,8.64
869,415,19,2,11.38
870,416,27,1,15.52
871,416,29,1,7.44
872,417,22,1,6.87
873,417,24,3,13.71
874,418,9,2,22.09
875,418,10,3,17.62
876,419,12,1,6.26
877,419,14,1,33.96
878,420,6,3,3.14
879,420,10,2,17.62
880,421,18,1,8.64
881,421,20,1,7.9
882,422,28,1,11.69
883,422,29,3,7.44
884,423,4,2,9.18
885,423,5,3,18.94
886,424,24,3,13.71
887,424,25,1,23.68
888,425,6,3,3.14
889,425,10,2,17.62
890,426,1,2,21.08
891,426,3,2,35.44
892,427,28,2,11.69
893,427,29,3,7.44
894,428,3,3,35.44
895,428,5,1,18.94
896,429,11,2,20.75
897,429,14,2,33.96
898,430,18,2,8.64
899,430,19,3,11.38
900,431,26,1,12.05
901,431,30,1,33.81
902,432,28,1,11.69
903,432,29,1,7.44
904,433,21,2,18.77
905,433,22,2,6.87
906,434,1,1,21.08
907,434,5,1,18.94
908,435,18,1,8.64
909,435,19,3,11.38
910,436,23,1,29.59
911,436,24,1,13.71
912,437,3,1,35.44
913,437,4,1,9.18
914,438,17,1,29.43
915,438,20,1,7.9
916,439,8,3,24.56
917,439,10,3,17.62
918,440,11,1,20.75
919,440,14,3,33.96
920,441,21,2,18.77
921,441,25,3,23.68
922,442,7,2,13.96
923,442,9,2,22.09
924,443,26,1,12.05
925,443,30,3,33.81
926,444,23,3,29.59
927,444,24,2,13.71
928,445,16,2,12.37
929,445,19,1,11.38
930,446,23,1,29.59
931,446,25,2,23.68
932,447,11,1,20.75
933,447,13,2,4.29
934,448,1,3,21.08
935,448,4,1,9.18
936,449,7,3,13.96
937,449,9,2,22.09
938,450,3,3,35.44
939,450,5,1,18.94
940,451,2,1,21.29
941,451,5,3,18.94
942,452,29,1,7.44
943,452,30,1,33.81
944,453,8,3,24.56
945,453,9,2,22.09
946,454,11,1,20.75
947,454,13,2,4.29
948,455,26,2,12.05
949,455,29,2,7.44
950,456,8,3,24.56
951,456,10,1,17.62
952,457,6,3,3.14
953,457,10,3,17.62
954,458,14,2,33.96
955,458,15,1,23.3
956,459,2,1,21.29
957,459,5,1,18.94
958,460,28,2,11.69
959,460,29,2,7.44
960,461,1,3,21.08
961,461,2,2,21.29
962,462,22,2,6.87
963,462,24,1,13.71
964,463,12,3,6.26
965,463,14,3,33.96
966,464,8,2,24.56
967,464,10,2,17.62
968,465,1,1,21.08
969,465,2,2,21.29
970,466,12,1,6.26
971,466,13,3,4.29
972,467,23,2,29.59
973,467,24,2,13.71
974,468,6,1,3.14
975,468,8,3,24.56
976,469,29,3,7.44
977,469,30,2,33.81
978,470,6,2,3.14
979,470,8,2,24.56
980,471,11,1,20.75
981,471,13,1,4.29
982,472,1,3,21.08
983,472,5,1,18.94
984,473,1,1,21.08
985,473,2,2,21.29
986,474,12,1,6.26
987,474,15,1,23.3
988,475,29,3,7.44
989,475,30,2,33.81
990,476,16,3,12.37
991,476,19,2,11.38
992,477,27,3,15.52
993,477,28,1,11.69
994,478,23,2,29.59
995,478,24,2,13.71
996,479,27,3,15.52
997,479,28,3,11.69
998,480,1,1,21.08
999,480,2,1,21.29
1000,481,1,3,21.08
1001,481,2,2,21.29
1002,482,21,2,18.77
1003,482,23,2,29.59
1004,482,24,2,13.71
1005,483,12,2,6.26
1006,483,13,3,4.29
1007,484,4,3,9.18
1008,484,5,3,18.94
1009,485,17,2,29.43
1010,485,19,3,11.38
1011,486,14,1,33.96
1012,486,15,2,23.3
1013,487,1,2,21.08
1014,487,4,3,9.18
1015,488,12,2,6.26
1016,488,13,2,4.29
1017,489,1,2,21.08
1018,489,5,1,18.94
1019,490,1,1,21.08
1020,490,3,3,35.44
1021,491,28,3,11.69
1022,491,29,3,7.44
1023,492,6,2,3.14
1024,492,10,1,17.62
1025,493,1,3,21.08
1026,493,2,2,21.29
1027,494,11,2,20.75
1028,494,12,2,6.26
1029,494,13,3,4.29
1030,495,6,2,3.14
1031,495,9,2,22.09
1032,496,11,2,20.75
1033,496,13,2,4.29
1034,497,26,3,12.05
1035,497,28,3,11.69
1036,498,22,3,6.87
1037,498,23,2,29.59
1038,499,24,1,13.71
1039,499,25,1,23.68
1040,500,21,1,18.77
1041,500,22,1,6.87
1042,500,25,2,23.68
1043,501,26,2,12.05
1044,501,27,2,15.52
1045,501,28,3,11.69
1046,501,29,1,7.44
1047,502,12,3,6.26
1048,502,13,1,4.29
1049,502,14,1,33.96
1050,503,2,3,21.29
1051,503,3,3,35.44
1052,504,27,2,15.52
1053,504,29,2,7.44
1054,504,30,3,33.81
1055,505,27,1,15.52
1056,505,28,1,11.69
1057,506,21,2,18.77
1058,506,22,1,6.87
1059,507,18,1,8.64
1060,507,19,2,11.38
1061,508,27,1,15.52
1062,508,30,3,33.81
1063,509,23,1,29.59
1064,509,25,3,23.68
1065,510,16,2,12.37
1066,510,18,1,8.64
1067,510,19,2,11.38
1068,511,16,1,12.37
1069,511,18,3,8.64
1070,512,29,3,7.44
1071,512,30,2,33.81
1072,513,12,3,6.26
1073,513,15,2,23.3
1074,514,27,2,15.52
1075,514,28,1,11.69
1076,514,29,3,7.44
1077,515,21,2,18.77
1078,515,23,1,29.59
1079,516,16,3,12.37
1080,516,19,3,11.38
1081,517,11,3,20.75
1082,517,13,1,4.29
1083,518,26,2,12.05
1084,518,30,1,33.81
1085,519,16,2,12.37
1086,519,18,1,8.64
1087,520,3,1,35.44
1088,520,4,3,9.18
1089,521,1,3,21.08
1090,521,3,1,35.44
1091,522,21,2,18.77
1092,522,25,1,23.68
1093,523,11,3,20.75
1094,523,13,2,4.29
1095,523,14,1,33.96
1096,524,26,2,12.05
1097,524,29,1,7.44
1098,525,26,3,12.05
1099,525,30,1,33.81
1100,526,14,1,33.96
1101,526,15,3,23.3
1102,527,18,2,8.64
1103,527,19,1,11.38
1104,528,26,3,12.05
1105,528,27,1,15.52
1106,529,22,3,6.87
1107,529,24,1,13.71
1108,530,7,2,13.96
1109,530,10,3,17.62
1110,531,12,3,6.26
1111,531,13,3,4.29
1112,532,12,1,6.26
1113,532,15,1,23.3
1114,533,1,1,21.08
1115,533,2,3,21.29
1116,533,5,1,18.94
1117,534,14,2,33.96
1118,534,15,3,23.3
1119,535,19,3,11.38
1120,535,20,3,7.9
1121,536,29,1,7.44
1122,536,30,2,33.81
1123,537,3,3,35.44
1124,537,4,1,9.18
1125,538,23,1,29.59
1126,538,24,3,13.71
1127,539,11,3,20.75
1128,539,14,2,33.96
1129,540,16,1,12.37
1130,540,19,3,11.38
1131,541,16,1,12.37
1132,541,20,2,7.9
1133,542,22,1,6.87
1134,542,23,2,29.59
1135,543,21,3,18.77
1136,543,23,2,29.59
1137,543,25,2,23.68
1138,544,16,2,12.37
1139,544,20,2,7.9
1140,545,27,2,15.52
1141,545,29,1,7.44
1142,546,22,1,6.87
1143,546,24,3,13.71
1144,547,13,1,4.29
1145,547,15,1,23.3
1146,548,26,1,12.05
1147,548,30,2,33.81
1148,549,16,1,12.37
1149,549,19,1,11.38
1150,550,27,3,15.52
