id,dish_id,recorded_date,waste_weight_g,reason
95,3,2026-03-19,250,临期报废
96,17,2026-03-30,50,制作失败
97,14,2026-03-24,40,其他
98,4,2026-03-17,74,备餐过量
99,2,2026-03-04,66,备餐过量
100,5,2026-03-18,280,制作失败
101,28,2026-03-24,623,制作失败
102,15,2026-03-31,230,备餐过量
103,3,2026-03-27,280,制作失败
104,29,2026-03-07,26,备餐过量
105,3,2026-03-16,275,售后退回
106,26,2026-03-11,35,备餐过量
107,3,2026-03-30,182,备餐过量
108,17,2026-03-27,300,制作失败
109,25,2026-03-08,141,制作失败
110,7,2026-03-02,258,售后退回
111,18,2026-03-28,105,制作失败
112,25,2026-03-24,133,制作失败
113,30,2026-03-14,280,制作失败
114,25,2026-03-19,219,制作失败
115,23,2026-03-31,22,备餐过量
116,27,2026-03-27,97,制作失败
117,15,2026-03-11,468,备餐过量
118,11,2026-03-24,42,其他
119,5,2026-03-27,216,备餐过量
120,16,2026-03-09,82,制作失败
121,25,2026-03-17,52,备餐过量
122,25,2026-03-19,93,备餐过量
123,21,2026-03-19,82,临期报废
124,17,2026-03-26,143,备餐过量
125,20,2026-03-16,345,备餐过量
126,2,2026-03-12,71,备餐过量
127,24,2026-03-19,354,备餐过量
128,30,2026-03-18,187,制作失败
129,6,2026-03-09,45,备餐过量
130,4,2026-03-23,59,备餐过量
131,22,2026-03-14,177,制作失败
132,22,2026-03-25,228,备餐过量
133,22,2026-03-10,397,备餐过量
134,11,2026-03-18,193,备餐过量
135,13,2026-03-14,268,备餐过量
136,11,2026-03-06,200,备餐过量
137,23,2026-03-23,110,制作失败
138,18,2026-03-30,101,制作失败
139,9,2026-03-25,205,制作失败
140,12,2026-03-20,228,制作失败
141,2,2026-03-14,131,备餐过量
142,26,2026-03-30,287,备餐过量
143,12,2026-03-01,218,备餐过量
144,28,2026-03-20,374,售后退回
145,17,2026-03-26,147,备餐过量
146,28,2026-03-13,97,备餐过量
147,28,2026-03-25,374,备餐过量
148,6,2026-03-13,32,制作失败
149,16,2026-03-09,73,备餐过量
150,28,2026-03-04,332,备餐过量
151,28,2026-03-26,748,备餐过量
152,2,2026-03-04,48,制作失败
153,28,2026-03-23,443,备餐过量
154,2,2026-03-24,114,其他
155,8,2026-03-13,277,临期报废
156,10,2026-03-09,80,临期报废
157,17,2026-03-19,50,备餐过量
158,13,2026-03-17,234,备餐过量
159,4,2026-03-30,164,其他
160,5,2026-03-24,267,备餐过量
161,18,2026-03-18,59,临期报废
162,12,2026-03-02,78,备餐过量
163,28,2026-03-17,540,制作失败
164,2,2026-03-09,117,备餐过量
165,7,2026-03-26,101,备餐过量
166,26,2026-03-28,216,制作失败
167,5,2026-03-20,382,制作失败
168,26,2026-03-05,105,备餐过量
169,15,2026-03-13,446,制作失败
170,25,2026-03-03,189,备餐过量
171,18,2026-03-10,127,临期报废
172,17,2026-03-16,217,备餐过量
173,30,2026-03-27,85,备餐过量
174,11,2026-03-02,193,备餐过量
175,4,2026-03-10,127,制作失败
176,28,2026-03-12,845,制作失败
177,18,2026-03-09,77,售后退回
178,6,2026-03-12,7,备餐过量
179,15,2026-03-26,468,备餐过量
180,17,2026-03-17,64,制作失败
181,4,2026-03-07,486,售后退回
182,11,2026-03-08,336,备餐过量
183,25,2026-03-14,200,临期报废
184,22,2026-03-20,101,备餐过量
185,3,2026-03-05,300,制作失败
186,29,2026-03-18,83,备餐过量
187,4,2026-03-19,194,备餐过量
188,24,2026-03-01,414,临期报废
189,27,2026-03-03,129,备餐过量
190,14,2026-03-20,163,备餐过量
191,4,2026-03-10,67,售后退回
192,29,2026-03-26,26,制作失败
193,17,2026-03-20,258,备餐过量
194,11,2026-03-25,371,备餐过量
195,28,2026-03-04,748,备餐过量
196,29,2026-03-05,238,备餐过量
197,29,2026-03-30,45,其他
198,16,2026-03-30,8,制作失败
199,27,2026-03-20,15,售后退回
200,7,2026-03-09,67,备餐过量
201,23,2026-03-12,180,制作失败
202,17,2026-03-18,267,备餐过量
203,10,2026-03-19,46,其他
204,7,2026-03-30,186,其他
205,23,2026-03-23,140,备餐过量
206,8,2026-03-18,273,制作失败
207,28,2026-03-27,443,制作失败
208,6,2026-03-13,49,售后退回
209,15,2026-03-18,237,临期报废
210,4,2026-03-06,67,其他
211,27,2026-03-17,31,制作失败
212,3,2026-03-03,167,备餐过量
213,19,2026-03-11,28,制作失败
214,10,2026-03-31,56,制作失败
215,17,2026-03-25,50,备餐过量
216,18,2026-03-12,72,备餐过量
217,24,2026-03-30,422,售后退回
218,17,2026-03-25,115,售后退回
219,24,2026-03-24,532,备餐过量
220,7,2026-03-17,216,备餐过量
221,10,2026-03-04,72,备餐过量
222,3,2026-03-09,319,备餐过量
223,20,2026-03-18,93,售后退回
224,18,2026-03-28,92,其他
225,28,2026-03-17,374,其他
226,28,2026-03-23,194,备餐过量
227,5,2026-03-26,394,备餐过量
228,23,2026-03-16,154,备餐过量
229,18,2026-03-20,37,售后退回
230,8,2026-03-13,269,售后退回
231,30,2026-03-09,319,临期报废
232,15,2026-03-27,374,制作失败
233,4,2026-03-17,291,制作失败
234,23,2026-03-17,121,其他
235,4,2026-03-26,119,备餐过量
236,10,2026-03-11,62,制作失败
237,28,2026-03-09,693,备餐过量
238,2,2026-03-18,50,备餐过量
239,4,2026-03-26,314,制作失败
240,15,2026-03-31,172,售后退回
241,12,2026-03-17,166,制作失败
242,26,2026-03-17,35,备餐过量
243,7,2026-03-06,148,备餐过量
244,21,2026-03-31,134,其他
245,4,2026-03-18,381,制作失败
246,21,2026-03-17,57,备餐过量
247,22,2026-03-11,354,备餐过量
248,12,2026-03-31,275,备餐过量
249,2,2026-03-23,18,制作失败
250,28,2026-03-27,887,备餐过量
251,5,2026-03-10,312,备餐过量
252,5,2026-03-31,407,临期报废
253,22,2026-03-10,388,备餐过量
254,3,2026-03-05,231,售后退回
255,20,2026-03-23,32,备餐过量
256,15,2026-03-05,57,制作失败
257,29,2026-03-15,75,备餐过量
258,4,2026-03-24,127,备餐过量
259,2,2026-03-06,96,备餐过量
260,26,2026-03-12,246,备餐过量
261,6,2026-03-06,6,备餐过量
262,18,2026-03-24,140,备餐过量
263,22,2026-03-17,523,备餐过量
264,5,2026-03-26,203,售后退回
265,14,2026-03-04,172,制作失败
266,26,2026-03-02,136,备餐过量
267,20,2026-03-27,214,备餐过量
268,28,2026-03-02,859,备餐过量
269,28,2026-03-22,679,制作失败
270,4,2026-03-06,216,备餐过量
271,29,2026-03-01,223,其他
272,14,2026-03-26,132,临期报废
273,1,2026-03-10,10,备餐过量
274,23,2026-03-11,232,备餐过量
275,30,2026-03-30,109,备餐过量
276,30,2026-03-21,210,临期报废
277,17,2026-03-27,263,备餐过量
278,25,2026-03-10,178,制作失败
279,7,2026-03-19,59,备餐过量
280,5,2026-03-04,235,售后退回
281,11,2026-03-31,178,临期报废
282,9,2026-03-30,84,制作失败
283,8,2026-03-02,194,售后退回
284,5,2026-03-04,229,临期报废
285,3,2026-03-13,241,备餐过量
286,29,2026-03-21,234,临期报废
287,15,2026-03-05,468,制作失败
288,12,2026-03-20,62,备餐过量
289,17,2026-03-16,207,售后退回
290,15,2026-03-05,309,制作失败
291,21,2026-03-29,128,备餐过量
292,13,2026-03-09,161,制作失败
293,20,2026-03-19,170,备餐过量
294,4,2026-03-11,291,备餐过量
295,21,2026-03-12,148,其他
296,1,2026-03-09,33,售后退回
297,20,2026-03-16,98,备餐过量
298,15,2026-03-30,36,制作失败
299,28,2026-03-15,457,备餐过量
300,11,2026-03-03,421,备餐过量
301,4,2026-03-10,261,临期报废
302,29,2026-03-03,230,其他
303,23,2026-03-28,202,备餐过量
304,5,2026-03-14,394,备餐过量
305,24,2026-03-13,388,备餐过量
306,14,2026-03-04,154,临期报废
307,20,2026-03-18,214,售后退回
308,6,2026-03-07,40,临期报废
309,5,2026-03-04,191,备餐过量
310,2,2026-03-14,71,备餐过量
311,28,2026-03-04,845,备餐过量
312,1,2026-03-05,90,其他
313,8,2026-03-04,233,制作失败
314,28,2026-03-19,374,备餐过量
315,15,2026-03-31,144,其他
316,2,2026-03-18,108,制作失败
317,3,2026-03-24,309,制作失败
318,28,2026-03-16,859,备餐过量
319,1,2026-03-17,42,备餐过量
320,25,2026-03-16,44,临期报废
321,28,2026-03-09,110,备餐过量
322,23,2026-03-24,36,备餐过量
323,15,2026-03-02,43,售后退回
324,17,2026-03-12,120,备餐过量
325,24,2026-03-10,388,其他
326,22,2026-03-13,549,备餐过量
327,19,2026-03-02,48,备餐过量
328,27,2026-03-23,81,制作失败
329,9,2026-03-06,100,备餐过量
330,16,2026-03-20,94,备餐过量
331,19,2026-03-24,59,其他
332,13,2026-03-09,156,临期报废
333,1,2026-03-13,56,售后退回
334,24,2026-03-18,253,备餐过量
335,21,2026-03-16,163,售后退回
336,12,2026-03-08,36,其他
337,17,2026-03-06,152,临期报废
338,4,2026-03-06,112,临期报废
339,17,2026-03-25,203,制作失败
340,13,2026-03-17,117,备餐过量
341,8,2026-03-10,127,备餐过量
342,27,2026-03-03,124,制作失败
343,20,2026-03-20,236,售后退回
344,14,2026-03-30,20,备餐过量
345,2,2026-03-31,125,售后退回
346,4,2026-03-13,231,制作失败
347,17,2026-03-23,277,其他
348,15,2026-03-17,417,售后退回
349,4,2026-03-14,82,备餐过量
350,12,2026-03-04,317,其他
351,20,2026-03-05,351,备餐过量
352,13,2026-03-19,107,制作失败
353,12,2026-03-31,260,其他
354,17,2026-03-31,138,制作失败
355,28,2026-03-02,83,备餐过量
356,6,2026-03-17,73,临期报废
357,9,2026-03-06,88,备餐过量
358,23,2026-03-29,62,售后退回
359,6,2026-03-26,14,备餐过量
360,28,2026-03-19,609,备餐过量
361,2,2026-03-07,16,制作失败
362,20,2026-03-25,87,制作失败
363,1,2026-03-16,61,备餐过量
364,28,2026-03-15,554,备餐过量
365,10,2026-03-24,59,备餐过量
366,27,2026-03-18,76,备餐过量
367,29,2026-03-13,30,备餐过量
368,9,2026-03-09,100,临期报废
369,27,2026-03-03,39,备餐过量
370,4,2026-03-24,59,备餐过量
371,17,2026-03-24,189,备餐过量
372,16,2026-03-27,19,制作失败
373,15,2026-03-23,252,备餐过量
374,23,2026-03-11,206,备餐过量
375,4,2026-03-04,433,备餐过量
376,16,2026-03-10,54,售后退回
377,13,2026-03-26,53,备餐过量
378,4,2026-03-02,89,制作失败
379,22,2026-03-04,346,备餐过量
380,28,2026-03-27,637,制作失败
381,28,2026-03-30,332,制作失败
382,21,2026-03-31,122,备餐过量
383,17,2026-03-11,69,备餐过量
384,8,2026-03-16,136,备餐过量
385,18,2026-03-30,13,制作失败
386,29,2026-03-16,204,其他
387,2,2026-03-17,102,临期报废
388,15,2026-03-31,374,其他
389,2,2026-03-08,135,备餐过量
390,7,2026-03-21,212,其他
391,4,2026-03-03,216,备餐过量
392,15,2026-03-04,223,备餐过量
393,17,2026-03-20,73,备餐过量
394,28,2026-03-20,748,其他
395,30,2026-03-24,101,备餐过量
396,14,2026-03-16,166,其他
397,24,2026-03-24,515,临期报废
398,12,2026-03-03,36,备餐过量
399,9,2026-03-18,181,备餐过量
400,8,2026-03-31,44,备餐过量
401,4,2026-03-21,194,备餐过量
402,9,2026-03-06,137,备餐过量
403,19,2026-03-11,12,制作失败
404,28,2026-03-26,873,制作失败
405,17,2026-03-12,254,备餐过量
406,29,2026-03-05,241,其他
407,28,2026-03-11,609,备餐过量
408,17,2026-03-27,231,备餐过量
409,29,2026-03-16,52,临期报废
410,12,2026-03-25,31,制作失败
411,17,2026-03-30,240,备餐过量
412,3,2026-03-16,265,备餐过量
413,18,2026-03-04,15,其他
414,6,2026-03-06,70,备餐过量
415,4,2026-03-16,314,备餐过量
416,21,2026-03-05,154,备餐过量
417,27,2026-03-25,34,备餐过量
418,23,2026-03-27,110,备餐过量
419,4,2026-03-04,291,售后退回
420,3,2026-03-12,206,备餐过量
421,10,2026-03-30,62,制作失败
422,4,2026-03-03,134,备餐过量
423,26,2026-03-17,90,其他
424,29,2026-03-23,238,备餐过量
425,25,2026-03-05,100,制作失败
426,18,2026-03-23,66,备餐过量
427,16,2026-03-13,63,备餐过量
428,17,2026-03-19,129,备餐过量
429,30,2026-03-17,226,临期报废
430,12,2026-03-26,140,备餐过量
431,4,2026-03-15,314,制作失败
432,24,2026-03-30,261,临期报废
433,3,2026-03-17,78,备餐过量
434,1,2026-03-12,93,制作失败
435,4,2026-03-12,306,制作失败
436,20,2026-03-02,230,备餐过量
437,29,2026-03-16,196,售后退回
438,1,2026-03-16,36,备餐过量
439,9,2026-03-20,137,备餐过量
440,20,2026-03-18,82,临期报废
441,24,2026-03-17,507,备餐过量
442,10,2026-03-20,22,制作失败
443,25,2026-03-06,40,备餐过量
444,17,2026-03-02,55,其他
445,25,2026-03-12,200,临期报废
446,26,2026-03-23,312,备餐过量
447,16,2026-03-04,103,备餐过量
448,30,2026-03-10,39,售后退回
449,23,2026-03-05,114,其他
450,5,2026-03-05,363,售后退回
451,6,2026-03-10,50,制作失败
452,3,2026-03-19,118,售后退回
453,19,2026-03-26,53,其他
454,28,2026-03-04,748,制作失败
455,10,2026-03-24,67,售后退回
456,13,2026-03-13,73,制作失败
457,23,2026-03-20,202,备餐过量
458,25,2026-03-30,26,备餐过量
459,28,2026-03-30,568,备餐过量
460,15,2026-03-12,288,备餐过量
461,22,2026-03-04,363,售后退回
462,9,2026-03-11,80,售后退回
463,16,2026-03-02,24,备餐过量
464,28,2026-03-04,762,备餐过量
465,28,2026-03-09,443,备餐过量
466,26,2026-03-10,40,备餐过量
467,5,2026-03-27,197,其他
468,2,2026-03-25,50,备餐过量
469,20,2026-03-05,312,售后退回
470,19,2026-03-27,23,备餐过量
471,14,2026-03-29,134,备餐过量
472,30,2026-03-22,109,备餐过量
473,27,2026-03-20,153,制作失败
474,6,2026-03-08,15,备餐过量
475,18,2026-03-29,90,备餐过量
476,11,2026-03-18,350,备餐过量
477,16,2026-03-04,70,备餐过量
478,6,2026-03-04,32,制作失败
479,22,2026-03-16,228,备餐过量
480,1,2026-03-02,71,备餐过量
481,15,2026-03-14,432,备餐过量
482,9,2026-03-25,201,制作失败
483,4,2026-03-06,284,备餐过量
484,30,2026-03-27,124,制作失败
485,4,2026-03-27,231,售后退回
486,25,2026-03-18,159,备餐过量
487,14,2026-03-23,123,临期报废
488,4,2026-03-11,478,备餐过量
489,15,2026-03-11,108,备餐过量
490,23,2026-03-12,81,备餐过量
491,17,2026-03-31,83,制作失败
492,28,2026-03-17,318,备餐过量
493,3,2026-03-21,255,备餐过量
494,12,2026-03-17,135,制作失败
495,4,2026-03-19,411,备餐过量
496,24,2026-03-05,507,备餐过量
497,4,2026-03-02,381,制作失败
498,16,2026-03-20,71,备餐过量
499,2,2026-03-16,66,备餐过量
500,9,2026-03-08,76,临期报废
